对不起;duì bù qǐ;Sorry *
米饭;mǐ fàn;(cooked) rice *
玉米;yù mǐ;Corn *
饭店;fàn diàn;n. Restaurant, hotel *
下午;xià wǔ;Afternoon *
下星期;xià xīng qī;Next week *
吃不下;chī bù xià;Not feel like eating, unable to eat any more
上午;shàng wǔ;Morning *
中午;zhōng wǔ;Noon, midday *
商店;shāng diàn;Store, shop *
商人;shāng rén;Merchant, businessman *
商会;shāng huì;Chamber of commerce
买不起;mǎi bù qǐ;Can't afford anything
多多少少;duō duō shǎo shǎo;To some extent, more or less
老爸;lǎo bà;Dad, father
老妈;lǎo mā;Mother
工作;gōng zuò;Work, job *
工人;gōng rén;Worker *
人工;rén gōng;Manual work, manpower *
工钱;gōng qián;Salary, wage *
写作;xiě zuò;Writing, to write
名作;míng zuò;Masterpiece, famous work
做作;zuò zuò;Unnatural, artificial *
医学;yī xué;Study of medicine *
中医;zhōng yī;Traditional chinese medicine, a doctor trained thereof *
西医;xī yī;A doctor trained in western medicine, western medicine *
医生;yī shēng;Doctor *
医院;yī yuàn;Hospital *
医学院;yī xué yuàn;Medical school *
老人院;lǎo rén yuàn;Old people's home
中医院;zhōng yī yuàn;Hospital of chinese medicine *
下面；Below, under, next *
见面;jiàn miàn;To see each other
对面;duì miàn;Across (the street), directly in front
熊猫;xióng māo;Panda
能人;néng rén;Capable person *
坐起来;zuò qǐ lái;Sit up
本能;běn néng;Instinct
本钱;běn qián;Seed money, capital
前年;qián nián;The year before last *
女友;nǚ yǒu;Girlfriend
几天前;jǐ tiān qián;A few days ago
后面;hòu miàn;Back, behind
后天;hòu tiān;The day after tomorrow *
今后;jīn hòu;From now on, in the future, the future
电脑;diàn nǎo;Computer *
家电;jiā diàn;Household electric appliance
电工;diàn gōng;Electrician *
电子书;diàn zi shū;E-book
人脑;rén nǎo;Human brain *
和气;hé qì;Kindly, polite, friendship, harmony
和好;hé hǎo;To reconcile, become reconciled, make up
不和;bù hé;Be not friendly with each other, not get along, disharmony
现在;xiàn zài;Now *
现年;xiàn nián;(A person's) current age
现有;xiàn yǒu;Currently available
先做;xiān zuò;Freshly made
起点;qǐ diǎn;Origin, starting pot
点菜;diǎn cài;Order dishes *
几点了;jǐ diǎn le;What's the time? *
有点小;yǒu diǎn xiǎo;A little too small *
十分;shí fēn;Very, fully, extremely
分校;fēn xiào;Branch of a school
学分;xué fēn;Course credit
不分上下;bù fēn shàng xià;(in a race or competition) neck and neck
小时;xiǎo shí;Hour *
同时;tóng shí;At the same time *
这时;zhè shí;At this time, at this moment *
小时候;xiǎo shí hòu;In one's childhood *
有时候;yǒu shí hòu;Sometimes *
这时候;zhè shí hòu;At this time, at this moment *
回家;huí jiā;To return home *
回国;huí guó;Go back to one's country *
回请;huí qǐng;To return an invitation
有一回;yǒu yī huí;There was a time...
北面;běi miàn;Northern side
北京时候;běi jīng shí hòu;Chinese standard time *
住院;zhù yuàn;To be hospitalized, to be in the hospital
住口;zhù kǒu;Shut one's mouth, stop talking
电影院;diàn yǐng yuàn;Cinema *
电影明星;diàn yǐng míng xīng;Movie star
天气;tiān qì;Weather *
怎么样;zěn me yàng;How is it, how about, what about *
看样子;kàn yàng zi;It seems, it looks as if
老样子;lǎo yàng zi;Same old thing, the same as before
不怎么样;bù zěn me yàng;Normal, nothing great, so-so
下雨;xià yǔ;To rain *
太太;tài tài;Madam, lady, wife
热心;rè xīn;Warm-hearted
冷气;lěng qì;Air conditioning
生冷;shēng lěng;Raw and cold (food)
小姐;xiǎo jiě;Miss, young lady *
爱好;ài hào;Hobby *
身体;shēn tǐ;Body, health *
本身;běn shēn;Self, itself
热身;rè shēn;To warm up (sports), to prepare
身心;shēn xīn;Body and mind, mental and physical
人体;rén tǐ;Human body *
个体;gè tǐ;Individual *
回来;huí lái;Come back, to return *
后来;hòu lái;Later, afterwards *
看起来;kàn qǐ lái;Appears to be, looks as if *
想不起来;xiǎng bù qǐ lái;Unable to call to mind, cannot remember
水果;shuǐ guǒ;Fruit *
后国;hòu guó;Consequences
开心果;kāi xīn guǒ;Pistachio nuts, amusing person *
学习;xué xí;To learn, to study *
见习;jiàn xí;To learn on the job
日月;rì yuè;The sun and moon *
生日;shēng rì;Birthday *
工作日;gōng zuò rì;Weekday, workday *
不见天日;bù jiàn tiān rì;All black no daylight, a world without justice
目的;mù dì;Aim, purpose, end, objective
目前;mù qián;Right now, present, now, recently
心目中;xīn mù zhōng;In somebodies eye, on somebodies mind
本来面目;běn lái miàn mù;True colors, true features (of a person)
喜气;xǐ qì;Cheerful atmosphere
心里话;xīn lǐ huà;To express one's true feelings
好说话;hǎo shuō huà;Be easy-going
电视;diàn shì;TV *
视觉;shì jué;Visual sense
先生;xiān shēng;Mr *
好好先生;hǎo hǎo xiān shēng;Yes man (who agrees with everything)
开心;kāi xīn;Happy *
开水;kāi shuǐ;Boiled water *
开饭;kāi fàn;Serve a meal *
先不开;xiān bù kāi;Cannot figure out, be unable to take a lighter view, take things too hard
开车;kāi chē;Drive a car *
坐车;zuò chē;Take the car, bus, train, etc. *
打车;dǎ chē;Take a taxi *
车本;chē běn;Driver's license
来回;lái huí;To make a round trip
苹果;píng guǒ;Apple *
衣服;yī fú;Clothes *
大衣;dà yī;Topcoat, overcoar *
雨衣;yǔ yī;Raincoat *
睡衣;shuì yī;Pajamas
漂亮;piào liàng;Pretty, beautiful *
月亮;yuè liàng;The moon *
明亮;míng liàng;Bright, well lit, shining, clear
天亮了;tiān liàng le;The sun has risen, it's morning time
分钟;fēn zhōng;Minute *
时钟;shí zhōng;Clock
分分钟;fēn fēn zhōng;Every minute
打听;dǎ tīng;Ask around
好听;hǎo tīng;Pleasant to hear *
飞机;fēi jī;Airplane *
起飞;qǐ fēi;Take off *
机会;jī huì;Opportunity, chance
出租车;chū zū chē;Taxi *
出身;chū shēn;Family background
出国;chū guó;To go abroad
出现;chū xiàn;To appear, to show up
租车;zū chē;Rent a car *
月租;yuè zū;Monthly rent
租不起;zū bù qǐ;Cannot afford to rent
租房;zū fáng;Rent a house or apartment
认识;rèn shí;Recognize, be acquianted, know, understanding, knowledge *
认同;rèn tóng;To identify oneself with
认字;rèn zì;Knowing how to read
认不出来;rèn bù chū lái;Cannot recognize
见识;jiàn shí;Knowledge and experience
学识;xué shí;Scholarly knowledge
一字不识;yī zì bù shí;Totally illiterate
高兴;gāo xìng;Happy, glad *
身高;shēn gāo;A person's height
高大上;gāo dà shàng;High-end, elegant, classy
高高在上;gāo gāo zài shàng;Set up on high, not in touch with reality
